Commune;Prixm2_Moy;Code_postal
Levroux;928.0;36110
Levroux;928.0;36110
Levroux;928.0;36110
Mesnils sur iton;1538.0;27240
Mesnils sur iton;1538.0;27240
Mesnils sur iton;1538.0;27240
Mesnils sur iton;1538.0;27240
Mesnils sur iton;1538.0;27240
Mesnils sur iton;1538.0;27240
Mesnils sur iton;1538.0;27240
Mesnils sur iton;1538.0;27240
Mesnils sur iton;1538.0;27240
Mesnils sur iton;1538.0;27240
Mesnils sur iton;1538.0;27240
Mesnils sur iton;1538.0;27240
Mesnils sur iton;1538.0;27240
Mesnils sur iton;1538.0;27160
Montsurs;1028.0;53150
Montsurs;1028.0;53150
Montsurs;1028.0;53150
Montsurs;1028.0;53150
Montsurs;1028.0;53150
Porte des pierres dorees;2280.0;69400
Porte des pierres dorees;2280.0;69400
Porte des pierres dorees;2280.0;69400
Porte des pierres dorees;2280.0;69640
Hericourt;1402.0;62130
Hericourt;1402.0;70400
Hericourt;1402.0;70400
Hericourt;1402.0;70400
Hericourt;1402.0;70400
Valserhone;2100.0;1200
Valserhone;2100.0;1200
Valserhone;2100.0;1200
Valserhone;2100.0;1200
Valserhone;2100.0;1200
Bresse vallons;1962.0;1340
Bresse vallons;1962.0;1340
Bourgvallees;1304.0;50750
Bourgvallees;1304.0;50750
Bourgvallees;1304.0;50750
Bourgvallees;1304.0;50750
Bourgvallees;1304.0;50750
Bourgvallees;1304.0;50750
Airvault;1087.0;79600
Airvault;1087.0;79600
Airvault;1087.0;79600
Airvault;1087.0;79600
Belleville;4819.0;54940
Belleville;1251.0;54940
Celles sur belle;1109.0;79370
Celles sur belle;1109.0;79370
Celles sur belle;1109.0;79370
Celles sur belle;1109.0;79370
Aigondigne;1274.0;79370
Aigondigne;1274.0;79370
Aigondigne;1274.0;79370
Aigondigne;1274.0;79370
Auzouville l esneval;1247.0;76760
Valromey sur seran;1566.0;1260
Valromey sur seran;1566.0;1260
Valromey sur seran;1566.0;1260
Valromey sur seran;1566.0;1260
Valromey sur seran;1566.0;1260
Valromey sur seran;1566.0;1260
Valromey sur seran;1566.0;1260
Montgenevre;3868.0;5100
Yves;2698.0;17340
Yves;2698.0;17340
Laudun l ardoise;2271.0;30290
Laudun l ardoise;2271.0;30290
Nevache;3315.0;5100
Chusclan;2064.0;30200
Chusclan;2064.0;30200
Orsan;1956.0;30200
Caupenne d armagnac;1182.0;32110
Laujuzan;600.0;32110
Arneguy;1051.0;64220
Quettreville sur sienne;1305.0;50660
Quettreville sur sienne;1305.0;50660
Quettreville sur sienne;1305.0;50660
Quettreville sur sienne;1305.0;50660
Quettreville sur sienne;1305.0;50210
Quettreville sur sienne;1305.0;50660
Eyne;2363.0;66800
Dourlers;1012.0;59440
Lasse;1958.0;64220
Lees athas;652.0;64490
Lecumberry;1060.0;64220
Lescun;1497.0;64490
Llo;3117.0;66800
Itteville;2859.0;91760
Seez;2940.0;73700
Ballancourt sur essonne;2820.0;91610
Baulne;2555.0;91590
Surjoux lhopital;1500.0;1420
Surjoux lhopital;1500.0;1420
Cessieres suzy;1998.0;2320
Cessieres suzy;1998.0;2320
Abries ristolas;2207.0;5460
Abries ristolas;2207.0;5460
Villeneuve sur aisne;1856.0;2190
Villeneuve sur aisne;1856.0;2190
Anizy le grand;1317.0;2320
Anizy le grand;1317.0;2320
Anizy le grand;1317.0;2320
Val de sos;915.0;9220
Val de sos;915.0;9220
Val de sos;915.0;9220
Val de sos;915.0;9220
Aulos sinsat;977.0;9310
Aulos sinsat;977.0;9310
Val du faby;1230.0;11260
Val du faby;1230.0;11260
Cesny les sources;1478.0;14220
Cesny les sources;1478.0;14220
Cesny les sources;1478.0;14220
Cesny les sources;1478.0;14220
Cesny les sources;1478.0;14220
Roquetaillade et conilhac;1772.0;11300
Roquetaillade et conilhac;1772.0;11190
Castine en plaine;1906.0;14540
Castine en plaine;1906.0;14540
Castine en plaine;1906.0;14540
Goupil othon;1415.0;27170
Goupil othon;1415.0;27170
Thibouville;1159.0;27800
Eole en beauce;1154.0;28140
Eole en beauce;1154.0;28150
Eole en beauce;1154.0;28150
Eole en beauce;1154.0;28150
Eole en beauce;1154.0;28150
Soumont;1431.0;34700
Chatelaudren plouagat;1374.0;22170
Chatelaudren plouagat;1374.0;22170
Valforet;2665.0;21220
Valforet;2665.0;21220
Lagarde marc la tour;1182.0;19150
Lagarde marc la tour;1182.0;19150
Val d auge;764.0;16170
Val d auge;764.0;16170
Val d auge;764.0;16170
Val d auge;764.0;16170
Val d auge;764.0;16170
Val d auge;764.0;16170
Mainxe gondeville;1279.0;16200
Mainxe gondeville;1279.0;16200
Longeault pluvault;1367.0;21110
Longeault pluvault;1367.0;21110
Linard malval;952.0;23220
Linard malval;952.0;23220
Marennes hiers brouage;1923.0;17320
Marennes hiers brouage;1923.0;17320
Marennes hiers brouage;1923.0;17320
Laguenne sur avalouze;1111.0;19150
Laguenne sur avalouze;1111.0;19150
Plouguenast langast;932.0;22150
Plouguenast langast;932.0;22150
Tart;1931.0;21110
Tart;1931.0;21110
Lamballe armor;1734.0;22400
Lamballe armor;1734.0;22400
Lamballe armor;1734.0;22400
Lamballe armor;1734.0;22400
Lamballe armor;1734.0;22400
Lamballe armor;1734.0;22400
Lamballe armor;1734.0;22400
Lamballe armor;1734.0;22400
Lamballe armor;1734.0;22400
Moulins sur tardoire;1442.0;16220
Moulins sur tardoire;1442.0;16110
Langoat;1203.0;22450
Sanguinet;2964.0;40460
Ychoux;1941.0;40160
Parentis en born;2437.0;40160
Biscarrosse;3035.0;40600
Biscarrosse;3035.0;40600
Ville d avray;5806.0;92410
Quincy sous senart;2985.0;91480
Valherbasse;1849.0;26350
Valherbasse;1849.0;26350
Valherbasse;1849.0;26350
Frenelles en vexin;1550.0;27700
Frenelles en vexin;1550.0;27700
Frenelles en vexin;1550.0;27150
Arcisses;1549.0;28400
Arcisses;1549.0;28400
Arcisses;1549.0;28400
Saintigny;1122.0;28480
Saintigny;1122.0;28480
Breau mars;2391.0;30120
Breau mars;2391.0;30120
Val d aigoual;2131.0;30570
Val d aigoual;2131.0;30570
Val d aigoual;2131.0;30570
Val d aigoual;2131.0;30570
Val couesnon;1028.0;35560
Val couesnon;1028.0;35460
Val couesnon;1028.0;35460
Val couesnon;1028.0;35560
Entre vignes;2291.0;34400
Entre vignes;2291.0;34400
Val de livenne;1000.0;33820
Val de livenne;1000.0;33860
Rives du couesnon;1520.0;35140
Rives du couesnon;1520.0;35140
Rives du couesnon;1520.0;35140
Rives du couesnon;1520.0;35140
Pessat villeneuve;2239.0;63200
Mesnil roc h;1372.0;35720
Mesnil roc h;1372.0;35720
Mesnil roc h;1372.0;35720
Plateau des petites roches;2207.0;38660
Plateau des petites roches;2207.0;38660
Plateau des petites roches;2207.0;38660
Chanteperier;1000.0;38740
Chanteperier;1000.0;38740
Villentrois faverolles en berry;1143.0;36360
Villentrois faverolles en berry;1143.0;36600
Ornacieux balbins;1493.0;38260
Ornacieux balbins;1493.0;38260
Val de virieu;1505.0;38730
Val de virieu;1505.0;38730
