Commune;Prixm2;Code_postal
Dirac;1660.0;16410
Brie;1151.0;2870
Brie;1151.0;35150
Brie;1151.0;9700
Brie;1151.0;16590
Brie;1151.0;80200
Brie;1354.0;2870
Brie;1354.0;35150
Brie;1354.0;9700
Brie;1354.0;16590
Brie;1354.0;80200
Brie;908.0;2870
Brie;908.0;35150
Brie;908.0;9700
Brie;908.0;16590
Brie;908.0;80200
Brie;883.0;2870
Brie;883.0;35150
Brie;883.0;9700
Brie;883.0;16590
Brie;883.0;80200
Mornac;1044.0;16600
Dignac;817.0;16410
Torsac;1270.0;16410
La couronne;1190.0;16400
Sireuil;1255.0;16440
Angouleme;1277.0;16000
Tourrenquets;1361.0;32390
Bonzee;920.0;55160
Maure;578.0;64460
Claix;1207.0;16440
Claix;1207.0;38640
Claix;3028.0;16440
Claix;3028.0;38640
Augnax;1119.0;32120
Voulgezac;1052.0;16250
Ayguetinte;810.0;32410
Roquefort;1824.0;32390
Roquefort;1824.0;40120
Roquefort;1824.0;47310
Roquefort;1556.0;32390
Roquefort;1556.0;40120
Roquefort;1556.0;47310
Roquefort;1246.0;32390
Roquefort;1246.0;40120
Roquefort;1246.0;47310
Auterive;1503.0;32550
Auterive;1503.0;31190
Auterive;1503.0;82500
Auterive;1670.0;32550
Auterive;1670.0;31190
Auterive;1670.0;82500
Auterive;520.0;32550
Auterive;520.0;31190
Auterive;520.0;82500
Montegut;1141.0;65150
Montegut;1141.0;32550
Montegut;1141.0;40190
Montegut;654.0;65150
Montegut;654.0;32550
Montegut;654.0;40190
Preignan;1419.0;32810
Roquelaure;973.0;32810
Mirepoix;585.0;9500
Mirepoix;585.0;32390
Mirepoix;1234.0;9500
Mirepoix;1234.0;32390
Pessan;899.0;32550
Les eparges;1180.0;55160
Lahitte;1612.0;32810
Crastes;623.0;32270
Duran;1851.0;32810
Castin;923.0;32810
Nougaroulet;1012.0;32270
Leboulin;1442.0;32810
Pavie;1646.0;32550
Villate;2858.0;31860
Puycasquier;1034.0;32120
Bonas;2185.0;32410
Lavardens;1152.0;32360
Biran;1248.0;32350
Jegun;1221.0;32360
Le fauga;1650.0;31410
Auch;1430.0;32000
Saubens;2021.0;31600
Eaunes;1719.0;31600
Pinsaguel;2167.0;31120
Muret;2137.0;31600
Labastidette;2055.0;31600
Roquettes;2394.0;31120
Frouzins;2410.0;31270
Roques;2501.0;31120
Roques;2501.0;32310
Seysses;2232.0;31600
Fonsorbes;2140.0;31470
Lamasquere;2644.0;31600
Sabonneres;966.0;31370
Contalmaison;969.0;80300
Empeaux;2249.0;31470
Bragayrac;2811.0;31470
Saiguede;1619.0;31470
Le thuit;1342.0;27700
Aigleville;1090.0;27120
Bueil;1664.0;27730
La boissiere;1215.0;27220
La boissiere;1215.0;53800
La boissiere;1215.0;14340
La boissiere;1215.0;34150
La boissiere;1215.0;39240
La boissiere;2165.0;27220
La boissiere;2165.0;53800
La boissiere;2165.0;14340
La boissiere;2165.0;34150
La boissiere;2165.0;39240
La boissiere;1279.0;27220
La boissiere;1279.0;53800
La boissiere;1279.0;14340
La boissiere;1279.0;34150
La boissiere;1279.0;39240
La boissiere;898.0;27220
La boissiere;898.0;53800
La boissiere;898.0;14340
La boissiere;898.0;34150
